あかい;red
red;あかい
あかるい;bright, cheerful, well-lit
bright, cheerful, well-lit;あかるい
あたまがいい;smart
smart;あたまがいい
あに;my older brother
my older brother;あに
あね;my older sister
my older sister;あね
いいえ;no
no;いいえ
いしゃ;doctor, doctors
doctor, doctors;いしゃ
いそがしい;busy
busy;いそがしい
いち;one, an
one, an;いち
いま;now, current
now, current;いま
いもうと;my younger sister
my younger sister;いもうと
うるさい;noisy
noisy;うるさい
えき;station, train station, stations
station, train station, stations;えき
おいしい;good, delicious, tasty
good, delicious, tasty;おいしい
おおきい;big, large
big, large;おおきい
おおさか;Osaka
Osaka;おおさか
おしゃれ;fashionable, stylish, well-dressed
fashionable, stylish, well-dressed;おしゃれ
おちゃ;green teas, green tea, tea
green teas, green tea, tea;おちゃ
おっと;my husband
my husband;おっと
おとうと;my younger brother
my younger brother;おとうと
おなまえは;what's your name
what's your name;おなまえは
おはようございます;good morning
good morning;おはようございます
おもしろい;interesting, fun, funny
interesting, fun, funny;おもしろい
か;or, is it?, that
or, is it?, that;か
かいしゃいん;office worker
office worker;かいしゃいん
かさ;umbrella, umbrellas
umbrella, umbrellas;かさ
かぞく;family
family;かぞく
かっこいい;cool, good-looking, stylish
cool, good-looking, stylish;かっこいい
かばん;bag
bag;かばん
かわいい;cuter, cute, pretty
cuter, cute, pretty;かわいい
かんごし;nurse
nurse;かんごし
がくせい;student, students
student, students;がくせい
きっぷ;ticket
ticket;きっぷ
きれい;clean
clean;きれい
くうこう;airport
airport;くうこう
ください;please
please;ください
くつ;shoes, shoe
shoes, shoe;くつ
けん;Ken, ticket
Ken, ticket;けん
ここ;here
here;ここ
この;this, these
this, these;この
これ;this (one), these, this
this (one), these, this;これ
これら;these
these;これら
こんにちは;hello, hi
hello, hi;こんにちは
こんばんは;tonight, good evening, this evening
tonight, good evening, this evening;こんばんは
ごはん;rice, meal, meals
rice, meal, meals;ごはん
ごろ;around, about
around, about;ごろ
さい;years old
years old;さい
さん;Mr., Miss, Mrs.
Mr., Miss, Mrs.;さん
しずか;quiet
quiet;しずか
しゅっしん;from, origin, hometown
from, origin, hometown;しゅっしん
しろい;white
white;しろい
じ;o'clock
o'clock;じ
じゃあね;bye
bye;じゃあね
じゃないです;is not, we're not, aren't
is not, we're not, aren't;じゃないです
すし;sushi
sushi;すし
すみません;excuse me
excuse me;すみません
せんせい;teacher, Professor, teachers
teacher, Professor, teachers;せんせい
そこ;there
there;そこ
その;the, that, its
the, that, its;その
それ;that (one), it, that
